Wind_Speed,Rotor_Speed,Temperature,Oil_Pressure,Vibration,Amperage,Fault
12.5,150,25,190000,0.12,55,0
3.0,80,15,130000,0.2,40,1
9.8,130,22,160000,0.18,50,0
18.0,200,30,180000,0.25,70,1
7.2,100,18,140000,0.14,45,0
2.5,70,12,110000,0.22,35,1
10.5,140,23,170000,0.16,52,0
20.0,220,35,210000,0.28,80,1
8.2,110,20,150000,0.15,48,0
1.5,60,10,100000,0.18,30,1
12.0,160,28,200000,0.14,60,0
5.0,90,16,120000,0.2,42,1
14.0,180,32,220000,0.26,75,1
6.5,95,19,160000,0.16,46,0
3.5,75,14,130000,0.24,38,1
15.5,170,30,200000,0.22,65,1
9.0,120,22,170000,0.17,53,0
22.0,250,40,230000,0.3,90,1
7.8,105,20,160000,0.15,49,0
1.0,50,8,90000,0.14,28,1
11.2,150,26,190000,0.13,58,0
4.0,85,16,140000,0.21,40,1
16.0,190,35,210000,0.27,78,1
8.5,115,22,170000,0.16,51,0
11.5,155,27,195000,0.14,57,0
5.5,88,17,145000,0.19,43,1
17.0,200,33,210000,0.26,76,1
9.5,125,23,175000,0.15,49,0
13.0,165,29,200000,0.14,62,0
6.0,92,18,150000,0.2,44,1
18.5,210,36,220000,0.28,82,1
8.8,118,21,160000,0.15,50,0
2.0,65,11,100000,0.2,32,1
10.0,135,24,180000,0.16,55,0
14.5,175,31,210000,0.24,72,1
7.0,100,20,160000,0.18,47,0
3.8,78,14,120000,0.23,37,1
12.8,160,28,190000,0.13,60,0
19.0,230,38,220000,0.29,85,1
9.2,125,23,170000,0.16,52,0
23.0,260,42,240000,0.32,95,1
8.0,110,19,150000,0.14,46,0
1.2,55,9,95000,0.15,27,1
11.2,155,27,195000,0.14,58,0
4.5,82,16,130000,0.22,39,1
16.5,195,34,210000,0.27,80,1
7.5,105,21,160000,0.15,49,0
0.5,45,7,85000,0.13,25,1
10.8,145,25,185000,0.14,56,0
5.8,94,18,150000,0.21,45,1
18.8,215,37,220000,0.29,84,1
8.5,115,22,170000,0.16,51,0
11.5,155,28,200000,0.14,57,0
6.5,90,17,140000,0.19,43,1
21.5,245,40,230000,0.31,92,1
9.0,120,22,170000,0.17,53,0
12.5,160,27,190000,0.14,59,0
7.8,105,20,160000,0.15,49,0
1.0,50,8,90000,0.14,28,1
10.2,140,24,180000,0.16,54,0
14.5,175,31,210000,0.24,72,1
6.5,92,18,150000,0.2,44,1
17.8,205,35,220000,0.28,81,1
8.8,118,21,160000,0.15,50,0
2.2,68,12,105000,0.19,33,1
11.0,150,25,190000,0.13,58,0
15.2,185,33,210000,0.25,76,1
7.2,100,20,160000,0.18,47,0
4.2,80,15,120000,0.22,38,1
13.5,170,29,200000,0.14,63,0
20.5,240,39,230000,0.3,88,1
9.2,125,23,170000,0.16,52,0
22.5,255,41,240000,0.32,94,1
8.0,110,19,150000,0.14,46,0
1.5,60,10,100000,0.18,30,1
12.8,165,28,190000,0.13,60,0
19.2,225,37,220000,0.29,85,1
9.5,130,23,175000,0.15,49,0
3.0,75,14,120000,0.24,38,1
11.2,155,27,195000,0.14,57,0
5.0,85,16,140000,0.21,40,1
17.0,200,34,210000,0.27,80,1
8.5,115,22,170000,0.16,51,0
10.0,135,24,180000,0.16,55,0
14.5,175,31,210000,0.24,72,1
7.0,100,20,160000,0.18,47,0
3.5,78,14,120000,0.23,37,1
15.8,190,32,210000,0.26,77,1
9.0,120,22,170000,0.17,53,0
22.0,250,40,230000,0.3,90,1
6.8,95,18,160000,0.16,46,0
12.2,160,27,195000,0.14,59,0
13.5,180,30,210000,0.23,68,1
5.8,94,18,150000,0.21,45,1
18.0,210,35,220000,0.28,81,1
9.8,135,24,175000,0.17,50,0
8.5,120,25,180000,0.15,50,0
9.8,150,30,200000,0.18,60,0
6.5,90,18,140000,0.1,40,0
8.0,110,22,170000,0.14,48,0
10.5,160,32,220000,0.2,65,0
8.2,125,26,185000,0.16,52,0
8.3,122,25.2,179000,0.16,51,0
7.9,112,23.8,170000,0.15,49,0
9.2,134,28.3,193000,0.17,56,0
6.7,96,19.7,147000,0.11,44,0
7.3,104,21.5,155000,0.13,46,0
8.6,128,26.8,187000,0.16,52,0
9.1,138,27.5,194000,0.17,54,0
8.4,116,24.9,174000,0.14,50,0
9.6,142,29.6,197000,0.18,58,0
6.9,99,20.1,152000,0.12,43,0
8.7,128,27.3,188000,0.16,52,0
9.4,137,28.8,196000,0.18,57,0
7.8,106,22.3,162000,0.14,46,0
8.0,120,25.4,182000,0.16,51,0
9.0,136,28.2,189000,0.17,54,0
8.5,124,26.6,184000,0.16,52,0
9.3,131,27.9,190000,0.17,54,0
7.4,109,23.1,164000,0.14,47,0
6.5,95,19.2,148000,0.12,43,0
8.1,121,25.1,181000,0.16,51,0
9.2,138,28.7,195000,0.18,56,0
7.7,112,23.9,171000,0.15,49,0
8.3,130,27.4,189000,0.17,54,0
9.5,135,28.3,193000,0.18,57,0
6.8,98,19.8,149000,0.11,44,0
8.4,125,26.3,186000,0.16,51,0
9.7,143,29.2,196000,0.18,57,0
7.3,104,21.2,158000,0.13,46,0
8.2,120,25.6,183000,0.16,52,0
9.1,136,28.5,194000,0.17,56,0
